,author_id,first_name,is_initial,gender
0,38052503,Simon,False,male
1,1681881,Xavier,False,male
2,1726246,Elaine,False,female
3,2344630,Ersin,False,male
4,41219849,Damon,False,male
5,49988044,Joseph,False,male
6,1680638,Yucheng,False,andy
7,3282271,Haijie,False,andy
8,1741745,Danny,False,male
9,1730156,Carlos,False,male
10,1403402912,Raja,False,mostly_male
11,81120399,Phong,False,mostly_male
12,47583368,Etienne,False,male
13,1699786,Laurie,False,female
14,145773256,Patrick,False,male
15,2348906,Vijay,False,mostly_male
16,143623342,Emil,False,male
17,144534186,Marten,False,male
19,2012099,Christopher,False,male
20,49380999,Ling,False,andy
21,3046907,Xiangyao,False,unknown
22,1695217,Srinivas,False,male
23,35392071,Benjamin,False,male
24,9359661,Kening,False,unknown
25,144313215,Rui,False,male
26,152297693,Philip,False,male
27,1718305,Hassan,False,male
28,145208473,James,False,male
29,1720429,Gail-Joon,False,unknown
30,144890679,Patrick,False,male
31,34440363,Mahadev,False,unknown
32,1865700,Flavio,False,male
33,143698368,Benjamin,False,male
34,2134882,Vehbi,False,male
35,49732850,Bin,False,andy
36,32434985,Gerhard,False,male
37,143642366,Raghu,False,unknown
38,144166293,Fan,False,andy
39,1737019,Hui,False,andy
40,38525396,Dick,False,male
41,1701236,Maung,False,unknown
42,1687350,Ola,False,male
43,1715722,Sandeep,False,mostly_male
44,35591612,Matti,False,male
45,1827131,Rikard,False,male
46,25591771,John,False,male
47,2340833,Bengt,False,male
48,2356097,Christian,False,male
49,2765516,Claudio,False,male
50,2054552,Dirk,False,male
51,1839969,Börje,False,male
52,40545686,Michael,False,male
53,1740880,Payam,False,male
54,144980015,Luis,False,male
55,1398854351,Raúl,False,male
56,70053552,Óscar,False,male
57,49525074,Simon,False,male
58,145456981,John,False,male
59,1733076,Manfred,False,male
60,2445923,Cory,False,mostly_male
61,40221545,Arthur,False,male
62,2400273,Vincent,False,male
63,1727108,Krzysztof,False,male
64,2080173,W.,True,unknown
65,1764470,Danh,False,andy
66,1834216,Laurent,False,male
67,144260175,Myriam,False,female
68,40447492,Holger,False,male
69,1729747,Andriy,False,male
70,49193745,Kevin,False,male
71,1733056,Alexandre,False,male
72,144463965,Amit,False,male
73,145620556,Kerry,False,mostly_female
74,3016513,Debasis,False,unknown
75,143667142,Jaydip,False,unknown
76,40397539,Cong,False,mostly_male
77,144313414,Ning,False,andy
78,40448872,Jin,False,female
79,144222395,Kui,False,andy
80,145612191,Wenjing,False,andy
81,145189240,K.,True,unknown
82,1786752,Hovav,False,unknown
83,145778768,Brent,False,male
84,1794359,Jean-Raymond,False,unknown
85,1895356,Dan,False,male
86,2514691,Ueli,False,male
87,2426718,Jonathan,False,male
88,6803671,Luca,False,male
89,145341374,Jürgen,False,male
90,153622478,Cheng,False,andy
91,3126827,Huseyin,False,unknown
92,2923710,Yikang,False,andy
93,34447742,Aaron,False,male
94,1698456,Brad,False,male
95,1718214,Parikshit,False,unknown
96,35964168,Jin,False,female
97,1729804,Sergey,False,male
98,1720844,Hsinchun,False,unknown
99,145802082,Roger,False,male
100,1764975,Veda,False,female
101,143834867,Matei,False,male
102,2579531,Mosharaf,False,unknown
103,2858881,Tathagata,False,unknown
104,2959744,Ankur,False,unknown
105,3376832,Justin,False,male
106,1946809,Murphy,False,male
107,143666627,Michael,False,male
108,143838343,Scott,False,male
109,144467753,Ion,False,male
115,1843103,Stephen,False,male
116,46822591,Neal,False,male
117,144652649,Eric,False,male
118,46557347,Borja,False,male
119,3809476,Jonathan,False,male
120,1777948,Konstantin,False,male
121,1797822,Hairong,False,andy
122,32036618,Sanjay,False,male
123,1771844,Robert,False,male
124,1720529,Luigi,False,male
125,1720772,Antonio,False,male
126,1727358,Giacomo,False,male
127,144131553,Tom,False,male
128,1729154,Christian,False,male
129,1715321,Jayavardhana,False,unknown
130,1709598,Rajkumar,False,male
131,1731133,Slaven,False,male
132,145389998,Marimuthu,False,male
133,32542103,Xiangxin,False,unknown
134,1770537,Deva,False,female
135,144482217,Michael,False,male
136,143608596,Armando,False,male
137,50331526,Rean,False,unknown
138,1687701,Anthony,False,male
139,38793222,Randy,False,mostly_male
140,2371549,Andy,False,male
141,4113761,Gunho,False,unknown
142,1701130,David,False,male
143,35264592,Ariel,False,male
146,39641533,Avinash,False,male
147,7941748,Prashant,False,male
148,145898058,Wil,False,andy
149,2780009,Brian,False,male
150,2305624,Adam,False,male
151,39023402,Erwin,False,male
152,114964532,Raghu,False,unknown
153,145879573,Russell,False,male
154,1763896,Daniele,False,female
155,69044839,Sabrina,False,female
156,144822891,Francesco,False,male
157,1700194,Imrich,False,male
158,2055924,Eduardo,False,male
159,143859272,Aruna,False,female
160,1797221,Dae-ki,False,unknown
161,1793636,Alec,False,male
162,2817840,Stefan,False,male
163,39403445,Ranveer,False,unknown
164,2292948,Paramvir,False,unknown
165,145412074,Walid,False,male
166,145169163,Zhu,False,andy
167,145967056,H.,True,unknown
168,2243689,Tamer,False,male
170,40102806,Qian,False,andy
174,1891470,Hrönn,False,female
175,11137066,Maria,False,female
176,101520744,James,False,male
177,144392313,Eric,False,male
178,1750905,Carl,False,male
179,1771108,Phoebe,False,female
180,1874286,Rafiullah,False,unknown
181,1727042,Sarmad,False,male
182,33498709,Rifaqat,False,unknown
183,144433810,Shahid,False,male
184,9238650,Omar,False,male
185,49238595,Mohammed,False,male
186,2457873,Mohsine,False,unknown
187,1800634,Phillip,False,male
188,2083381,Seungwon,False,unknown
189,1780068,Vinod,False,male
190,32623620,Martin,False,male
191,145340591,Mabry,False,unknown
192,3969047,Guofei,False,andy
193,1920395,Patrick,False,male
194,21028132,Saranga,False,unknown
195,37176218,Michelle,False,female
196,144657821,Richard,False,male
197,2835423,Timothy,False,male
198,41224057,Lujo,False,unknown
199,2637728,Nicolas,False,male
200,1699751,Lorrie,False,female
201,1879294,Julio,False,male
202,1759010,Eric,False,male
203,2862527,Brian,False,male
204,34782684,Jeffrey,False,male
205,40632770,Matt,False,male
206,2153304,Elli,False,female
207,2018385,Ghassan,False,male
208,2258227,Marc,False,male
209,153073216,Tobias,False,male
